
manster  11332  0.6  2.2 17:42:33 00:00:36 Web Content
manster  11381  1.6  5.4 17:42:34 00:01:26 WebExtensions
manster  11433  2.5  4.5 17:42:35 00:02:13 Web Content
manster  23501  0.0  0.5 18:36:15 00:00:01 RDD Process
manster  23576  1.7  2.4 18:38:36 00:00:35 Web Content
manster  23614  0.5  2.3 18:38:37 00:00:11 Web Content
manster  23856  0.2  1.9 18:45:11 00:00:03 Web Content
manster  23899  1.7  2.5 18:45:25 00:00:26 Web Content
manster  24088  0.0  0.5 18:46:39 00:00:00 Discord
manster  24339  1.0  2.8 18:47:51 00:00:15 Web Content
manster  24553  0.0  1.0 18:53:12 00:00:00 Web Content
manster  25239  1.2  0.3 19:11:22 00:00:00 tracker-store
manster  25273  3.5  0.5 19:11:24 00:00:00 gnome-terminal-
manster  25283  0.1  0.0 19:11:24 00:00:00 bash
manster  25293  0.0  0.0 19:11:38 00:00:00 bash
manster  25294  0.0  0.0 19:11:38 00:00:00 ps
manster  25295  0.0  0.0 19:11:38 00:00:00 grep
